filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
industrial/2x2/sciencePark2-02.png,success,1254,1254,1254,1149,1024,1024,1.0,1.0,,,True,0.9161,0.5437,0.548,0.5458,0.0043,,-0.4974,0.5,0.4987,0.0026,0.4974,0.5,bottom-scan-10pct+virtual,"(899,747)","(123,750)","(507,942)",output/modified4/industrial/2x2/sciencePark2-02.png,
industrial/2x2/sciencePark2-04.png,success,1254,1254,1254,915,1024,1024,1.0,1.0,,,True,0.7317,0.6647,0.7019,0.6833,0.0372,,-0.4867,0.5155,0.5011,0.0288,0.4867,0.5155,bottom-scan-10pct+virtual,"(911,812)","(112,814)","(498,1013)",output/modified4/industrial/2x2/sciencePark2-04.png,
industrial/2x2/sicencePark2-03.png,success,1254,1254,1254,660,1024,1024,1.0,1.0,,,True,0.6736,0.7298,0.7547,0.7423,0.0249,,-0.4901,0.5077,0.4989,0.0176,0.4901,0.5077,bottom-scan-10pct+virtual,"(911,803)","(113,803)","(505,1002)",output/modified4/industrial/2x2/sicencePark2-03.png,
industrial/3x3/industrialBuilding3-01.png,success,1024,1024,1024,712,1024,1024,1.0,1.0,,,True,1.0034,0.5068,0.4897,0.4983,0.0171,,-0.4738,0.4988,0.4863,0.025,0.4738,0.4988,bottom-scan-10pct+virtual,"(911,837)","(112,810)","(529,1018)",output/modified4/industrial/3x3/industrialBuilding3-01.png,
industrial/3x3/industrialBuilding3-02.png,success,1254,1254,1254,816,1024,1024,1.0,1.0,,,True,0.7413,0.6992,0.6499,0.6745,0.0493,,-0.5169,0.4803,0.4986,0.0366,0.5169,0.4803,bottom-scan-10pct+virtual,"(906,801)","(115,805)","(521,1000)",output/modified4/industrial/3x3/industrialBuilding3-02.png,
industrial/3x3/industrialBuilding3-03.png,success,1254,1254,1230,991,1024,1024,1.0,1.0,,,True,0.8112,0.6207,0.6122,0.6164,0.0085,,-0.5028,0.4975,0.5001,0.0053,0.5028,0.4975,bottom-scan-10pct+virtual,"(896,817)","(126,796)","(534,999)",output/modified4/industrial/3x3/industrialBuilding3-03.png,
industrial/3x3/sciencePark3-01.png,success,1254,1254,1254,1053,1024,1024,1.0,1.0,,,True,0.8399,0.6021,0.5884,0.5953,0.0137,,-0.5026,0.4911,0.4969,0.0115,0.5026,0.4911,bottom-scan-10pct+virtual,"(904,694)","(119,698)","(512,891)",output/modified4/industrial/3x3/sciencePark3-01.png,
industrial/3x3/sciencePark3-02.png,success,1254,1254,1254,811,1024,1024,1.0,1.0,,,True,0.6945,0.7305,0.7092,0.7199,0.0213,,-0.5064,0.4915,0.499,0.0149,0.5064,0.4915,bottom-scan-10pct+virtual,"(911,804)","(111,799)","(522,1001)",output/modified4/industrial/3x3/sciencePark3-02.png,
parks/park1x1/park1-01.png,success,820,820,820,535,1024,1024,1.0,1.0,,,True,0.803,0.6234,0.6221,0.6227,0.0013,,-0.5,0.5,0.5,0.0,0.5,0.5,bottom-scan-10pct+virtual,"(819,843)","(203,843)","(511,997)",output/modified4/parks/park1x1/park1-01.png,
parks/park1x1/park1-02.png,success,1408,768,1168,756,1024,1024,1.0,1.0,,,True,1.0,0.5011,0.4989,0.5,0.0022,,-0.5,0.4987,0.4993,0.0013,0.5,0.4987,bottom-scan-10pct+virtual,"(896,809)","(127,809)","(512,1001)",output/modified4/parks/park1x1/park1-02.png,
parks/park1x1/park1-03.png,success,1254,1053,1254,1037,1024,1024,1.0,1.0,,,True,0.985,0.5118,0.5035,0.5076,0.0083,,-0.5014,0.4957,0.4985,0.0057,0.5014,0.4957,bottom-scan-10pct+virtual,"(859,719)","(167,720)","(514,892)",output/modified4/parks/park1x1/park1-03.png,
parks/park1x1/park1-04.png,success,1254,1254,1254,883,1024,1024,1.0,1.0,,,True,0.7919,0.6398,0.623,0.6314,0.0168,,-0.5065,0.4937,0.5001,0.0128,0.5065,0.4937,bottom-scan-10pct+virtual,"(900,805)","(116,803)","(515,1000)",output/modified4/parks/park1x1/park1-04.png,
parks/park2x2/park2-02.png,success,1774,916,1597,935,1024,1024,1.0,1.0,,,True,1.021,0.4869,0.4925,0.4897,0.0056,,-0.4962,0.5,0.4981,0.0038,0.4962,0.5,bottom-scan-10pct+virtual,"(900,808)","(123,809)","(509,1002)",output/modified4/parks/park2x2/park2-02.png,
parks/park2x2/park2-03-highScore.png,success,1254,1254,1254,796,1024,1024,1.0,1.0,,,True,0.7696,0.6534,0.646,0.6497,0.0074,,-0.5013,0.4975,0.4994,0.0038,0.5013,0.4975,bottom-scan-10pct+virtual,"(903,710)","(118,710)","(512,906)",output/modified4/parks/park2x2/park2-03-highScore.png,
parks/park2x2/sportField3-02.png,success,1254,1254,1254,901,1024,1024,1.0,1.0,,,True,0.7183,0.6854,0.7068,0.6961,0.0214,,-0.4914,0.5078,0.4996,0.0164,0.4914,0.5078,bottom-scan-10pct+virtual,"(908,721)","(115,725)","(501,921)",output/modified4/parks/park2x2/sportField3-02.png,
parks/park3x3/park3-01.png,success,1119,615,1043,581,1024,1024,1.0,1.0,,,True,0.9848,0.509,0.5064,0.5077,0.0026,,-0.5,0.4961,0.498,0.0039,0.5,0.4961,bottom-scan-10pct+virtual,"(895,802)","(128,802)","(513,993)",output/modified4/parks/park3x3/park3-01.png,
parks/park3x3/sportField3-01.png,success,1254,1254,1254,841,1024,1024,1.0,1.0,,,True,0.7481,0.658,0.6788,0.6684,0.0208,,-0.4914,0.5079,0.4997,0.0165,0.4914,0.5079,bottom-scan-10pct+virtual,"(907,800)","(116,807)","(498,1001)",output/modified4/parks/park3x3/sportField3-01.png,
powerStation/coalPowerPlant.png,success,820,820,820,698,1024,1024,1.0,1.0,,,True,0.9158,0.546,0.546,0.546,0.0,,-0.5016,0.5016,0.5016,0.0,0.5016,0.5016,bottom-scan-10pct+virtual,"(826,837)","(196,837)","(511,995)",output/modified4/powerStation/coalPowerPlant.png,
powerStation/solarPowerPlant.png,success,820,703,820,617,1024,1024,1.0,1.0,,,True,1.0161,0.4921,0.4921,0.4921,0.0,,-0.5032,0.5,0.5016,0.0032,0.5032,0.5,bottom-scan-10pct+virtual,"(826,834)","(196,834)","(512,992)",output/modified4/powerStation/solarPowerPlant.png,
residential/house1x1/house1-01.png,success,973,700,973,680,1024,1024,1.0,1.0,,,True,0.9709,0.5385,0.4915,0.515,0.047,,-0.5225,0.4774,0.5,0.0451,0.5225,0.4774,bottom-scan-10pct+virtual,"(874,809)","(143,837)","(497,1006)",output/modified4/residential/house1x1/house1-01.png,
residential/house1x1/house1-02.png,success,1216,875,1211,937,1024,1024,1.0,1.0,,,True,1.0762,0.437,0.4921,0.4646,0.0551,,-0.4912,0.5282,0.5097,0.037,0.4912,0.5282,bottom-scan-10pct+virtual,"(896,809)","(126,807)","(499,1004)",output/modified4/residential/house1x1/house1-02.png,
residential/house1x1/house1-03.png,success,980,706,907,694,1024,1024,1.0,1.0,,,True,0.9825,0.5088,0.5089,0.5089,0.0001,,-0.5,0.5,0.5,0.0,0.5,0.5,bottom-scan-10pct+virtual,"(847,835)","(169,836)","(507,1005)",output/modified4/residential/house1x1/house1-03.png,
